,text
0,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I've just had the BEST day ever sorting out my referencing and annotations (-,-)...zzzZZZ] ="
5,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.] ="
75,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Love how politicians are exempt from social distancing and all other restrictions placed on the general public ] ="
76,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Sure, vaccines make no difference to Covid spread; that's why the hospitals are full of unvaccinated people. Are you able to do the maths?] ="
77,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Boris Johnson is not a clown. The conservative party is not corrupt.] ="
83,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Top 10 pools in my book:  1. Swimming pool 2. Paddling pool 3. Above-ground pool 4. Family pool 5. Architectural pool 6. Indoor pool 7. Lap pool 8. Olympic size pool 9. Natural pool  10. Salt water pool  Sorry Liverpool you are not top 10 pools in my book 😭😭😭] ="
149,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Really happy that the weather has stayed like this for the whole weekend] ="
150,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Hi John, thank you SO MUCH :-) for the text last night. ordering (!) me back to work off holiday for this morning as someone else is sick. Sooooo Sorry :-( that I am in Beijing with an 8 hours time difference and couldn't make it! I'll try harder next time.........] ="
156,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I think women should be able to join men's sports teams and vice versa. I really don't see any problem with for example having a 5 foot 3 inches slim women versus a 300 pound heavyweight boxer because i feel like women are very much equal to any man. Even much faster and stronger men. If anybody takes offense to my point then they need to reevaluate their lives as their are no man that could do anything better than a lady.] ="
178,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The irony of being asked to write an ""immaginary"" sarcastic tweet with ""imaginary"" incorrectly spelled...] ="
