,0
0,There's nothing to tell! He's just some guy I work with!
1,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
2,So does he have a hump? A hump and a hairpiece?
3,"Wait, does he eat chalk?"
4,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
5,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
6,Sounds like a date to me.
7,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked."
8,"Oh, yeah. Had that dream."
9,"Then I look down, and I realise there's a phone... there."
10,Instead of...?
11,That's right.
12,Never had that dream.
13,No.
14,"All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me!"
15,Hi.
16,"This guy says hello, I wanna k*ll myself."
17,"Are you okay, sweetie?"
18,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
19,Cookie?
20,Carol moved her stuff out today.  Let me get you some coffee.
21,Ooh! Oh! 
22,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay? I'll be fine, alright? Really, everyone. I hope she'll be very happy."
23,No you don't.
24,"No I don't, to hell with her, she left me!"
25,And you never knew she was a lesbian...
26,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
27,Sometimes I wish I was a lesbian...  Did I say that out loud?
28,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
29,"Strip joint! C'mon, you're single! Have some hormones!"
30,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
31,And I just want a million dollars! 
32,Rachel?!
33,"Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
34,Can I get you some coffee?
35,"De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? "
36,"Hi, sure!"
37,Hi. 
38,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
39,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realised that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, he always looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
40,Who wasn't invited to the wedding.
41,"Ooh, I was kinda hoping that wouldn't be an issue..."
42,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it. "
43,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me! "
44,"Ooh, she should not be wearing those pants."
45,I say push her down the stairs.
46,Push her down the stairs! Push her down the stairs! Push her down the stairs! 
47,"C'mon Daddy, listen to me! All of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
48,You can see where he'd have trouble.
49,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica. "
50,"Well, I guess we've established who's staying here with Monica..."
51,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
52,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
53,"Raindrops on roses and rabbits and kittens, ..bluebells and sleighbells and- something with mittens... La la la la..."
54,I'm all better now.
55,I helped!
56,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life."
57,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
58,"Joey, stop hitting on her! It's her wedding day!"
59,"What, like there's a rule or something?"
60,"Please don't do that again, it's a horrible sound."
61,"It's, uh, it's Paul."
62,Buzz him in!
63,Who's Paul?
64,"Paul the Wine Guy, Paul?"
65,Maybe.
66,Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
67,He finally asked you out?
68,Yes!
69,"Ooh, this is a Dear Diary moment."
70,"Rach, wait, I can cancel..."
71,"Please, no, go, that'd be fine!"
72,"Are, are you okay? I mean, do you want me to stay?"
73,That'd be good...
74,Really?
75,"No, go on! It's Paul the Wine Guy!"
76,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
77,Hey! Paul! Hi! The Wine Guy! Hey!
78,"I'm sorry, I didn't catch your name. Paul, was it?"
79,Two seconds.
80,"Ooh, I just pulled out four eyelashes. That can't be good."
81,"So Rachel, what're you, uh... what're you up to tonight?"
82,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
83,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
84,"Yes, and we're very excited about it. "
85,"Well actually thanks, but I think I'm just gonna hang out here tonight.."
86,"Okay, sure."
87,"Hey Pheebs, you wanna help?"
88,"Oh, I wish I could, but I don't want to."
89,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little whim guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
90,What's this?
91,I have no idea.
92,Done with the bookcase!
93,All finished!
94,"This was Carol's favourite beer. She always drank it out of the can, I should have known."
95,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
96,You guys.
97,"Oh, man."
98,You got screwed.
99,Oh my God!
100,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
